,matricula,matematicas
0,0,41
1,0,53
2,0,54
3,0,47
4,0,57
5,0,51
6,0,42
7,0,45
8,0,54
9,0,52
10,0,51
11,1,51
12,0,71
13,1,57
14,0,50
15,0,43
16,0,51
17,0,60
18,1,62
19,0,57
20,0,35
21,1,75
22,0,45
23,0,57
24,0,45
25,0,46
26,1,66
27,0,57
28,0,49
29,0,49
30,0,57
31,0,64
32,1,63
33,0,57
34,0,50
35,1,58
36,0,75
37,1,68
38,0,44
39,0,40
40,0,41
41,0,62
42,0,57
43,0,43
44,1,48
45,0,63
46,0,39
47,0,70
48,0,63
49,0,59
50,1,61
51,0,38
52,0,61
53,0,49
54,1,73
55,0,44
56,0,42
57,0,39
58,0,55
59,0,52
60,0,45
61,1,61
62,0,39
63,0,41
64,0,50
65,0,40
66,0,60
67,0,47
68,0,59
69,0,49
70,0,46
71,0,58
72,1,71
73,0,58
74,0,46
75,0,43
76,1,54
77,0,56
78,0,46
79,0,54
80,0,57
81,0,54
82,0,71
83,1,48
84,0,40
85,1,64
86,0,51
87,0,39
88,0,40
89,0,61
90,1,66
91,0,49
92,1,65
93,0,52
94,0,46
95,1,61
96,1,72
97,1,71
98,0,40
99,1,69
100,0,64
101,0,56
102,0,49
103,0,54
104,0,53
105,0,66
106,1,67
107,0,40
108,0,46
109,1,69
110,0,40
111,0,41
112,0,57
113,1,58
114,1,57
115,0,37
116,0,55
117,1,62
118,0,64
119,0,40
120,0,50
121,0,46
122,0,53
123,0,52
124,1,45
125,0,56
126,0,45
127,0,54
128,0,56
129,0,41
130,0,54
131,1,72
132,1,56
133,0,47
134,0,49
135,1,60
136,0,54
137,0,55
138,0,33
139,0,49
140,0,43
141,0,50
142,0,52
143,0,48
144,0,58
145,0,43
146,1,41
147,0,43
148,0,46
149,0,44
150,0,43
151,0,61
152,0,40
153,0,49
154,1,56
155,0,61
156,0,50
157,0,51
158,0,42
159,1,67
160,1,53
161,0,50
162,1,51
163,1,72
164,0,48
165,0,40
166,0,53
167,0,39
168,1,63
169,0,51
170,0,45
171,0,39
172,0,42
173,0,62
174,0,44
175,0,65
176,1,63
177,0,54
178,0,45
179,1,60
180,1,49
181,0,48
182,1,57
183,1,55
184,1,66
185,1,64
186,0,55
187,0,42
188,1,56
189,0,53
190,0,41
191,0,42
192,0,53
193,0,42
194,1,60
195,0,52
196,0,38
197,0,57
198,1,58
199,1,65
